first_name,last_name,dob,height,gender,nationality,id,referred_by
Patricia,Jackson,07/02/1975,180,male,French,1,696.0
Charles,Jackson,02/01/1992,185,male,Italian,2,820.0
Charles,Taylor,25/10/1978,193,male,French,3,1370.0
Patricia,Martinez,04/04/1963,156,female,Canadian,4,1662.0
William,Thompson,03/06/1960,168,male,Italian,5,556.0
Joseph,Williams,13/06/1992,172,non-binary,Italian,6,1147.0
Barbara,Thompson,21/08/1992,175,non-binary,American,7,1262.0
Linda,Wilson,23/01/1984,173,female,German,8,340.0
Karen,Jackson,22/07/2002,192,non-binary,Australian,9,1270.0
Sarah,Harris,21/10/1993,163,non-binary,German,10,1834.0
James,Thomas,16/02/1972,181,male,American,11,1420.0
Linda,White,23/12/1959,156,non-binary,Japanese,12,123.0
Jennifer,Moore,24/04/1957,198,male,French,13,1737.0
Barbara,Moore,16/12/1992,158,female,Canadian,14,1871.0
Richard,Miller,27/11/1976,169,male,Canadian,15,1873.0
Karen,Harris,13/03/1964,166,non-binary,Italian,16,1510.0
Mary,Thomas,23/05/1961,166,male,Canadian,17,1744.0
Elizabeth,White,04/10/1990,199,non-binary,American,18,1114.0
John,Jackson,27/09/2002,171,non-binary,German,19,1502.0
Karen,Williams,11/07/1968,164,male,French,20,1335.0
John,Robinson,08/12/1961,185,non-binary,Australian,21,1403.0
Richard,Wilson,28/08/1986,169,female,Canadian,22,555.0
Michael,Anderson,28/05/1974,194,non-binary,Spanish,23,1653.0
Joseph,Garcia,07/01/1985,196,male,American,24,1696.0
John,Brown,27/06/1972,172,male,Spanish,25,1002.0
Elizabeth,Thompson,05/02/2001,193,non-binary,Chinese,26,276.0
Jessica,White,06/08/1994,153,female,Australian,27,1519.0
Richard,Robinson,23/04/1990,197,non-binary,Italian,28,732.0
David,Jackson,03/12/1996,199,female,Japanese,29,365.0
Mary,Williams,17/06/1983,197,non-binary,Canadian,30,1016.0
Michael,Williams,25/12/2002,173,male,Chinese,31,303.0
Patricia,Taylor,29/11/1992,167,female,British,32,1841.0
Jessica,Anderson,14/09/1978,182,female,American,33,464.0
Robert,Martin,01/11/1973,175,male,Chinese,34,10.0
James,Moore,28/05/1991,159,non-binary,German,35,961.0
Patricia,Moore,03/05/1967,193,female,Canadian,36,1840.0
Elizabeth,Thomas,01/08/1956,194,female,Canadian,37,433.0
Robert,Martin,15/03/1974,153,male,Japanese,38,1718.0
Sarah,Johnson,07/02/1983,170,female,Canadian,39,1772.0
Patricia,Garcia,08/09/1959,194,non-binary,French,40,1213.0
Charles,Jones,17/06/1999,151,male,Spanish,41,1078.0
Jennifer,Johnson,04/07/1983,175,non-binary,British,42,1493.0
David,Robinson,17/11/2003,192,non-binary,Spanish,43,1889.0
Michael,Harris,04/01/1988,168,non-binary,Japanese,44,985.0
James,Martin,24/05/1988,174,female,American,45,197.0
James,White,28/08/1956,196,female,American,46,1735.0
Sarah,White,18/08/1968,178,male,British,47,1553.0
Elizabeth,Davis,11/06/1985,166,female,Chinese,48,973.0
Robert,Smith,07/10/2002,172,non-binary,Japanese,49,1879.0
Susan,Anderson,05/07/1964,188,female,Italian,50,899.0
Joseph,Thompson,11/09/1999,183,female,German,51,1037.0
Richard,Taylor,21/08/1970,189,male,Canadian,52,1762.0
Joseph,Garcia,27/10/1955,174,male,German,53,34.0
Robert,Moore,05/01/2006,155,non-binary,Italian,54,1025.0
Susan,Brown,20/03/1971,155,male,British,55,1746.0
Sarah,Martinez,17/09/1982,188,non-binary,German,56,1392.0
Karen,Brown,11/07/1970,167,non-binary,Italian,57,1103.0
Joseph,Robinson,25/03/2005,179,non-binary,Australian,58,291.0
Joseph,White,15/07/2004,175,male,Chinese,59,1349.0
Mary,Anderson,11/06/1980,160,male,French,60,708.0
Joseph,Wilson,09/05/1976,152,female,German,61,1786.0
Patricia,Jackson,06/05/1998,180,non-binary,Spanish,62,844.0
Jennifer,Johnson,06/03/1982,186,female,Spanish,63,1878.0
Mary,Brown,10/01/1984,191,female,Spanish,64,322.0
Thomas,Miller,13/01/2001,164,female,Australian,65,990.0
Richard,Garcia,17/04/1986,166,male,Chinese,66,847.0
Richard,Jackson,18/07/1956,186,non-binary,Canadian,67,1373.0
Karen,Robinson,25/06/2003,165,non-binary,German,68,1862.0
John,Anderson,10/04/1956,189,non-binary,Australian,69,1886.0
David,Moore,21/03/1955,168,male,Chinese,70,1252.0
Karen,Harris,30/11/1963,169,male,American,71,1834.0
William,Martinez,01/06/1973,154,female,Canadian,72,1678.0
William,White,20/02/1962,183,female,German,73,1688.0
Mary,Anderson,14/07/1970,188,non-binary,American,74,1699.0
Barbara,Martinez,16/04/1974,172,female,Chinese,75,379.0
Mary,Martinez,29/06/1960,187,female,Australian,76,470.0
Charles,Davis,26/06/1999,191,male,Japanese,77,659.0
Sarah,Miller,10/07/1973,198,male,Spanish,78,42.0
Patricia,Johnson,11/02/1979,173,non-binary,Japanese,79,588.0
Barbara,Johnson,16/06/2002,188,male,Italian,80,376.0
Richard,Smith,07/09/1960,154,male,Canadian,81,1533.0
Susan,Williams,17/05/1987,174,female,Australian,82,881.0
Sarah,Taylor,24/06/1959,163,female,Chinese,83,1440.0
Elizabeth,Wilson,24/04/1994,153,non-binary,Australian,84,1423.0
Barbara,Harris,28/09/1979,168,male,French,85,205.0
William,Smith,26/05/1968,165,female,Italian,86,822.0
Jennifer,Harris,07/01/1998,161,non-binary,Canadian,87,1711.0
Robert,White,03/06/1963,173,female,Canadian,88,405.0
Linda,Garcia,17/08/1969,161,female,Chinese,89,1547.0
Patricia,Brown,27/08/1959,156,male,American,90,554.0
James,Anderson,01/02/1971,199,non-binary,American,91,1987.0
Sarah,Jackson,14/07/2004,156,female,American,92,550.0
Charles,Harris,21/10/1982,159,non-binary,French,93,367.0
Patricia,Robinson,12/09/2002,179,female,Canadian,94,361.0
Jennifer,Martin,13/02/1993,167,female,German,95,1080.0
Richard,Taylor,27/06/2003,181,female,Japanese,96,8.0
Jennifer,Jackson,08/10/1993,184,male,Australian,97,582.0
William,Martinez,19/03/1973,166,male,American,98,529.0
Mary,Robinson,25/09/1990,198,male,Italian,99,210.0
Karen,Taylor,14/03/1984,172,non-binary,Canadian,100,962.0
Robert,Martin,12/06/1963,180,male,American,101,578.0
Sarah,Jones,17/11/1954,192,female,Italian,102,1150.0
Karen,Williams,14/10/1972,166,female,Italian,103,345.0
Karen,Jones,12/09/1975,198,non-binary,Spanish,104,895.0
James,Johnson,01/10/1959,198,female,Canadian,105,972.0
Michael,Robinson,18/04/1955,195,female,Japanese,106,794.0
Karen,Taylor,30/04/1987,170,female,American,107,547.0
Elizabeth,Wilson,30/07/1975,190,non-binary,German,108,1796.0
